IP(A),EA(A),IP(B),EA(B),H(A),L(A),H(B),L(B),r_s(A),r_p(A),r_d(A),r_s(B),r_p(B),r_d(B),dE
-5.329,-0.698,-19.404,-4.273,-2.874,-0.978,-11.294,1.251,1.652,1.995,6.93,0.406,0.371,1.428,-0.059
-5.329,-0.698,-13.902,-3.971,-2.874,-0.978,-8.7,0.574,1.652,1.995,6.93,0.679,0.756,1.666,-0.038
-5.329,-0.698,-12.65,-3.739,-2.874,-0.978,-8.001,0.708,1.652,1.995,6.93,0.749,0.882,1.869,-0.033
-5.329,-0.698,-11.257,-3.513,-2.874,-0.978,-7.236,0.213,1.652,1.995,6.93,0.896,1.071,1.722,-0.022
-9.459,0.631,-16.433,-3.006,-5.6,-2.098,-9.197,2.541,1.078,1.211,2.877,0.462,0.427,2.219,0.43
-9.459,0.631,-11.795,-2.845,-5.6,-2.098,-7.106,0.642,1.078,1.211,2.877,0.742,0.847,2.366,0.506
-9.459,0.631,-10.946,-2.751,-5.6,-2.098,-6.654,1.316,1.078,1.211,2.877,0.798,0.952,2.177,0.495
-9.459,0.631,-9.867,-2.666,-5.6,-2.098,-6.109,0.099,1.078,1.211,2.877,0.945,1.141,1.827,0.466
-8.19,-0.107,-13.585,-1.867,-3.715,2.248,-7.239,3.057,0.805,0.826,1.946,0.539,0.511,1.54,1.713
-8.19,-0.107,-9.751,-1.92,-3.715,2.248,-5.596,0.183,0.805,0.826,1.946,0.826,0.966,1.771,1.02
-8.19,-0.107,-9.262,-1.839,-3.715,2.248,-5.341,0.064,0.805,0.826,1.946,0.847,1.043,2.023,0.879
-10.852,-0.872,-10.852,-0.872,-5.416,1.992,-5.416,1.992,0.644,0.63,1.631,0.644,0.63,1.631,2.638
-5.223,-0.716,-19.404,-4.273,-2.819,-0.718,-11.294,1.251,1.715,2.597,6.566,0.406,0.371,1.428,-0.146
-5.223,-0.716,-13.902,-3.971,-2.819,-0.718,-8.7,0.574,1.715,2.597,6.566,0.679,0.756,1.666,-0.133
-5.223,-0.716,-12.65,-3.739,-2.819,-0.718,-8.001,0.708,1.715,2.597,6.566,0.749,0.882,1.869,-0.127
-5.223,-0.716,-11.257,-3.513,-2.819,-0.718,-7.236,0.213,1.715,2.597,6.566,0.896,1.071,1.722,-0.115
-8.037,0.693,-16.433,-3.006,-4.782,-1.358,-9.197,2.541,1.33,1.897,3.171,0.462,0.427,2.219,-0.178
-8.037,0.693,-11.795,-2.845,-4.782,-1.358,-7.106,0.642,1.33,1.897,3.171,0.742,0.847,2.366,-0.087
-8.037,0.693,-10.946,-2.751,-4.782,-1.358,-6.654,1.316,1.33,1.897,3.171,0.798,0.952,2.177,-0.055
-8.037,0.693,-9.867,-2.666,-4.782,-1.358,-6.109,0.099,1.33,1.897,3.171,0.945,1.141,1.827,-0.005
-5.78,-0.313,-13.585,-1.867,-2.784,0.695,-7.239,3.057,1.092,1.393,1.939,0.539,0.511,1.54,0.072
-5.78,-0.313,-9.751,-1.92,-2.784,0.695,-5.596,0.183,1.092,1.393,1.939,0.826,0.966,1.771,0.219
-5.78,-0.313,-9.262,-1.839,-2.784,0.695,-5.341,0.064,1.092,1.393,1.939,0.847,1.043,2.023,0.212
-5.78,-0.313,-8.468,-1.847,-2.784,0.695,-4.991,0.105,1.092,1.393,1.939,1.001,1.232,2.065,0.15
-7.758,-0.993,-10.852,-0.872,-4.163,0.44,-5.416,1.992,0.938,1.134,1.89,0.644,0.63,1.631,0.668
-7.758,-0.993,-7.758,-0.993,-4.163,0.44,-4.163,0.44,0.938,1.134,1.89,0.938,1.134,1.89,0.275
-4.433,-0.621,-19.404,-4.273,-2.426,-0.697,-11.294,1.251,2.128,2.443,1.785,0.406,0.371,1.428,-0.146
-4.433,-0.621,-13.902,-3.971,-2.426,-0.697,-8.7,0.574,2.128,2.443,1.785,0.679,0.756,1.666,-0.165
-4.433,-0.621,-12.65,-3.739,-2.426,-0.697,-8.001,0.708,2.128,2.443,1.785,0.749,0.882,1.869,-0.166
-4.433,-0.621,-11.257,-3.513,-2.426,-0.697,-7.236,0.213,2.128,2.443,1.785,0.896,1.071,1.722,-0.168
-6.428,0.304,-16.433,-3.006,-3.864,-2.133,-9.197,2.541,1.757,2.324,0.679,0.462,0.427,2.219,-0.266
-6.428,0.304,-11.795,-2.845,-3.864,-2.133,-7.106,0.642,1.757,2.324,0.679,0.742,0.847,2.366,-0.369
-6.428,0.304,-10.946,-2.751,-3.864,-2.133,-6.654,1.316,1.757,2.324,0.679,0.798,0.952,2.177,-0.361
-6.428,0.304,-9.867,-2.666,-3.864,-2.133,-6.109,0.099,1.757,2.324,0.679,0.945,1.141,1.827,-0.35
-8.389,-1.638,-19.404,-4.273,-4.856,-0.641,-11.294,1.251,1.197,1.68,2.576,0.406,0.371,1.428,-0.019
-8.389,-1.638,-13.902,-3.971,-4.856,-0.641,-8.7,0.574,1.197,1.68,2.576,0.679,0.756,1.666,0.156
-8.389,-1.638,-12.65,-3.739,-4.856,-0.641,-8.001,0.708,1.197,1.68,2.576,0.749,0.882,1.869,0.152
-8.389,-1.638,-11.257,-3.513,-4.856,-0.641,-7.236,0.213,1.197,1.68,2.576,0.896,1.071,1.722,0.203
-10.136,1.081,-16.433,-3.006,-6.217,-1.194,-9.197,2.541,1.099,1.547,2.254,0.462,0.427,2.219,0.102
-10.136,1.081,-11.795,-2.845,-6.217,-1.194,-7.106,0.642,1.099,1.547,2.254,0.742,0.847,2.366,0.275
-10.136,1.081,-10.946,-2.751,-6.217,-1.194,-6.654,1.316,1.099,1.547,2.254,0.798,0.952,2.177,0.259
-10.136,1.081,-9.867,-2.666,-6.217,-1.194,-6.109,0.099,1.099,1.547,2.254,0.945,1.141,1.827,0.241
-5.818,-0.108,-13.585,-1.867,-2.732,0.13,-7.239,3.057,0.994,1.33,2.163,0.539,0.511,1.54,0.433
-5.818,-0.108,-9.751,-1.92,-2.732,0.13,-5.596,0.183,0.994,1.33,2.163,0.826,0.966,1.771,0.341
-5.818,-0.108,-9.262,-1.839,-2.732,0.13,-5.341,0.064,0.994,1.33,2.163,0.847,1.043,2.023,0.271
-5.818,-0.108,-8.468,-1.847,-2.732,0.13,-4.991,0.105,0.994,1.33,2.163,1.001,1.232,2.065,0.158
-7.567,-0.949,-7.567,-0.949,-4.046,2.175,-4.046,2.175,0.917,1.162,2.373,0.917,1.162,2.373,0.202
-4.289,-0.59,-19.404,-4.273,-2.36,-0.705,-11.294,1.251,2.24,3.199,1.96,0.406,0.371,1.428,-0.136
-4.289,-0.59,-13.902,-3.971,-2.36,-0.705,-8.7,0.574,2.24,3.199,1.96,0.679,0.756,1.666,-0.161
-4.289,-0.59,-12.65,-3.739,-2.36,-0.705,-8.001,0.708,2.24,3.199,1.96,0.749,0.882,1.869,-0.164
-4.289,-0.59,-11.257,-3.513,-2.36,-0.705,-7.236,0.213,2.24,3.199,1.96,0.896,1.071,1.722,-0.169
-6.032,0.343,-16.433,-3.006,-3.641,-1.379,-9.197,2.541,1.911,2.548,1.204,0.462,0.427,2.219,-0.221
-6.032,0.343,-11.795,-2.845,-3.641,-1.379,-7.106,0.642,1.911,2.548,1.204,0.742,0.847,2.366,-0.369
-6.032,0.343,-10.946,-2.751,-3.641,-1.379,-6.654,1.316,1.911,2.548,1.204,0.798,0.952,2.177,-0.375
-6.032,0.343,-9.867,-2.666,-3.641,-1.379,-6.109,0.099,1.911,2.548,1.204,0.945,1.141,1.827,-0.381
-8.058,-1.667,-19.404,-4.273,-4.71,-0.479,-11.294,1.251,1.316,1.883,2.968,0.406,0.371,1.428,-0.156
-8.058,-1.667,-13.902,-3.971,-4.71,-0.479,-8.7,0.574,1.316,1.883,2.968,0.679,0.756,1.666,-0.044
-8.058,-1.667,-12.65,-3.739,-4.71,-0.479,-8.001,0.708,1.316,1.883,2.968,0.749,0.882,1.869,-0.03
-8.058,-1.667,-11.257,-3.513,-4.71,-0.479,-7.236,0.213,1.316,1.883,2.968,0.896,1.071,1.722,0.037
-9.581,0.839,-16.433,-3.006,-5.952,-1.309,-9.197,2.541,1.232,1.736,2.604,0.462,0.427,2.219,-0.087
-9.581,0.839,-11.795,-2.845,-5.952,-1.309,-7.106,0.642,1.232,1.736,2.604,0.742,0.847,2.366,0.07
-9.581,0.839,-10.946,-2.751,-5.952,-1.309,-6.654,1.316,1.232,1.736,2.604,0.798,0.952,2.177,0.083
-9.581,0.839,-9.867,-2.666,-5.952,-1.309,-6.109,0.099,1.232,1.736,2.604,0.945,1.141,1.827,0.113
-5.537,-0.256,-13.585,-1.867,-2.697,0.368,-7.239,3.057,1.134,1.498,3.108,0.539,0.511,1.54,0.15
-5.537,-0.256,-9.751,-1.92,-2.697,0.368,-5.596,0.183,1.134,1.498,3.108,0.826,0.966,1.771,0.17
-5.537,-0.256,-9.262,-1.839,-2.697,0.368,-5.341,0.064,1.134,1.498,3.108,0.847,1.043,2.023,0.122
-5.537,-0.256,-8.468,-1.847,-2.697,0.368,-4.991,0.105,1.134,1.498,3.108,1.001,1.232,2.065,0.08
-7.043,-1.039,-7.043,-1.039,-3.866,0.008,-3.866,0.008,1.057,1.344,2.03,1.057,1.344,2.03,0.016
-8.19,-0.107,-8.468,-1.847,-3.715,2.248,-4.991,0.105,0.805,0.826,1.946,1.001,1.232,2.065,0.581
-4.006,-0.57,-19.404,-4.273,-2.22,-0.548,-11.294,1.251,2.464,3.164,1.974,0.406,0.371,1.428,-0.112
-4.006,-0.57,-13.902,-3.971,-2.22,-0.548,-8.7,0.574,2.464,3.164,1.974,0.679,0.756,1.666,-0.152
-4.006,-0.57,-12.65,-3.739,-2.22,-0.548,-8.001,0.708,2.464,3.164,1.974,0.749,0.882,1.869,-0.158
-4.006,-0.57,-11.257,-3.513,-2.22,-0.548,-7.236,0.213,2.464,3.164,1.974,0.896,1.071,1.722,-0.165
-5.516,0.278,-16.433,-3.006,-3.346,-2.129,-9.197,2.541,2.149,2.632,1.351,0.462,0.427,2.219,-0.095
-5.516,0.278,-11.795,-2.845,-3.346,-2.129,-7.106,0.642,2.149,2.632,1.351,0.742,0.847,2.366,-0.326
-5.516,0.278,-10.946,-2.751,-3.346,-2.129,-6.654,1.316,2.149,2.632,1.351,0.798,0.952,2.177,-0.35
-5.516,0.278,-9.867,-2.666,-3.346,-2.129,-6.109,0.099,2.149,2.632,1.351,0.945,1.141,1.827,-0.381
-7.567,-0.949,-10.852,-0.872,-4.046,2.175,-5.416,1.992,0.917,1.162,2.373,0.644,0.63,1.631,0.808
-7.043,-1.039,-10.852,-0.872,-3.866,0.008,-5.416,1.992,1.057,1.344,2.03,0.644,0.63,1.631,0.45
-7.567,-0.949,-7.758,-0.993,-4.046,2.175,-4.163,0.44,0.917,1.162,2.373,0.938,1.134,1.89,0.264
-7.043,-1.039,-7.758,-0.993,-3.866,0.008,-4.163,0.44,1.057,1.344,2.03,0.938,1.134,1.89,0.136
-7.043,-1.039,-7.567,-0.949,-3.866,0.008,-4.046,2.175,1.057,1.344,2.03,0.917,1.162,2.373,0.087
